Boundary Condition,Description,Parameters,Basic,Calculated,Constraint,Inlet,Outlet,Wall,Coupled,Generic,Fixed Value,Fixed Gradient,Zero Gradient,Flow Direction Specific,Transient Support,Cyclic Conditions,Pressure Conditions,Velocity Conditions,Turbulence Model Compatibility,Wall Functions,Inlet/Outlet Specific,Symmetry/Slip,Multiphase Support,Heat Transfer,Mass Transfer,Chemical Reactions,Thermal Radiation,Compressibility,Acoustic Wave Propagation,Species Transport,Non-Newtonian Flow,Electromagnetic Effects
basic,"Not designed for evaluation; assumes value assignment via field assignment, not via updateCoeffs or evaluate",-,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
calculated,"Supplies a fixed value constraint, base class for other boundary conditions",-,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
fixedValue,Supplies a fixed value constraint,-,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
fixedGradient,Supplies a fixed gradient condition,-,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
zeroGradient,Applies a zero-gradient condition from the patch internal field onto the patch faces,-,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
mixed,"Base class for 'mixed' type boundary conditions, mixes fixed value and patch-normal gradient conditions",-,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
directionMixed,Base class for direction-mixed boundary conditions,-,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
extrapolatedCalculated,"Applies zero-gradient condition from the patch internal field onto the patch faces, may also be assigned. snGrad returns the patch gradient evaluated from current values",-,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
cyclic,Enforces cyclic condition between a pair of boundaries,-,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
cyclicACMI,"Enforces cyclic condition between a pair of boundaries, communication via ACMI interpolation",-,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
cyclicAMI,"Enforces cyclic condition between a pair of boundaries, communication via AMI interpolation",-,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
cyclicSlip,"Wrapper around cyclicFvPatchField condition, provides no new functionality",-,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
empty,Provides an 'empty' condition for reduced dimensions cases,-,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
jumpCyclic,Base class for coupled-cyclic conditions with a specified 'jump' between values,-,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
jumpCyclicAMI,"Base class for cyclic condition with a specified 'jump', communication via AMI interpolation",-,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
nonuniformTransformCyclic,"Enforces cyclic condition between a pair of boundaries, incorporating non-uniform transformation",-,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
processor,Enables processor communication across patches,-,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
processorCyclic,Enables processor communication across cyclic patches,-,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
symmetry,Enforces a symmetry constraint,-,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
symmetryPlane,Enforces a symmetryPlane constraint,-,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
wedge,"Similar to cyclic condition, applied to 2-D geometries",-,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
cylindricalInletVelocity,Inlet vector boundary condition in cylindrical coordinates,"Central axis, central point, rpm, axial and radial velocity",No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No
fanPressure,Pressure inlet/outlet total pressure condition for a fan,-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
fixedFluxExtrapolatedPressure,Sets pressure gradient such that flux on boundary matches velocity boundary condition,-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
fixedFluxPressure,Sets pressure gradient such that flux on boundary matches velocity boundary condition,-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
fixedMean,Extrapolates field to patch using near-cell values and adjusts distribution to match specified mean value,Optionally time-varying mean value,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
fixedMeanOutletInlet,"Extrapolates field to patch using near-cell values and adjusts distribution to match specified mean value, applied as fixedValue for outflow but zeroGradient for inflow",Optionally time-varying mean value,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
fixedNormalInletOutletVelocity,"Combines fixed normal component from ""normalVelocity"" patchField with fixed or zero-gradiented tangential component",-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
fixedPressureCompressibleDensity,Calculates liquid compressible density as a function of pressure and fluid properties,-,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
flowRateInletVelocity,Velocity inlet boundary condition adjusting extrapolated velocity or creating uniform velocity field normal to patch adjusted to match specified flow rate,-,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
freestream,"Provides free-stream condition, switches between fixed value and zero gradient based on flux sign",-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
freestreamPressure,Provides free-stream condition for pressure,-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
freestreamVelocity,Provides free-stream condition for velocity,-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
mappedFlowRate,Describes volumetric/mass flow normal vector boundary condition by magnitude as integral over area,-,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
mappedVelocityFluxFixedValue,Maps velocity and flux from neighbour patch to this patch,-,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
outletInlet,"Provides generic inflow condition, specified outflow for reverse flow",-,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
outletMappedUniformInlet,"Averages field over ""outlet"" patch and applies as uniform value over this patch","Name of ""outlet"" patch",No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
plenumPressure,"Provides plenum pressure inlet condition, zero-dimensional model upstream of inlet, pressure dependent on upstream volume",User specified mass flow and temperature,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
pressureDirectedInletOutletVelocity,"Velocity inlet/outlet condition for pressure boundaries, zero-gradient for outflow, velocity obtained from flux for inflow",Inlet direction,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
pressureDirectedInletVelocity,"Velocity inlet boundary condition for patches where pressure is specified, inflow velocity obtained from flux with specified inlet direction",Inlet direction,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
pressureInletOutletParSlipVelocity,"Velocity inlet/outlet boundary condition for pressure boundary where pressure is specified, zero-gradient for outflow, velocity obtained from flux for inflow",Inlet direction,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
pressureInletOutletVelocity,"Velocity inlet/outlet boundary condition for pressure boundaries where pressure is specified, zero-gradient for outflow, velocity obtained from patch-face normal component",-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
pressureInletUniformVelocity,"Velocity inlet boundary condition for patches where pressure is specified, uniform inflow velocity obtained by averaging flux over patch",-,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
pressureInletVelocity,"Velocity inlet boundary condition for patches where pressure is specified, inflow velocity obtained from flux with direction normal to patch faces",-,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
pressureNormalInletOutletVelocity,"Velocity inlet/outlet boundary condition for patches where pressure is specified, zero-gradient for outflow, velocity obtained from flux with normal direction",-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
pressurePIDControlInletVelocity,"Tries to generate an inlet velocity maintaining specified pressure drop between two downstream face zones, fully spanning duct",Downstream face zones,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
rotatingPressureInletOutletVelocity,"Velocity inlet/outlet condition for patches in rotating frame where pressure is specified, zero-gradient for outflow, velocity obtained from flux with direction normal to faces",-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
rotatingTotalPressure,Provides total pressure condition for patches in rotating frame,-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
supersonicFreestream,Provides supersonic free-stream condition,-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
surfaceNormalFixedValue,Provides surface-normal vector boundary condition by magnitude,-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
swirlFlowRateInletVelocity,Provides volumetric/mass flow normal vector boundary condition by magnitude as integral over area with swirl component determined by angular speed,Angular speed in RPM,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
swirlInletVelocity,"Inlet vector boundary condition in swirl coordinates, axial, radial, and tangential velocity profiles","Central axis, central point, axial, radial, and tangential velocity",No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
syringePressure,Provides pressure condition from zero-D model of cylinder of syringe,-,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
timeVaryingMappedFixedValue,Interpolates values from supplied points in space and time,-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
totalPressure,"Provides total pressure condition, four variants possible",-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
totalTemperature,Provides total temperature condition,-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
turbulentDFSEMInlet,Velocity boundary condition including synthesized eddies for LES and DES turbulent flows,-,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
turbulentDigitalFilterInlet,Digital-filter based boundary condition for velocity to generate synthetic turbulence-alike time-series for LES and DES turbulent flow computations,-,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
turbulentInlet,Produces spatiotemporal-variant field by summing a set of pseudo-random numbers and given spatiotemporal-invariant mean field,-,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
turbulentIntensityKineticEnergyInlet,Provides turbulent kinetic energy condition based on user-supplied turbulence intensity,-,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
uniformNormalFixedValue,Provides uniform surface-normal vector boundary condition by magnitude,-,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
